tid,label,status,reason,n_transits_seen,period,epoch_tess,duration_h,duration_s,processed_at
1003831,1,ok,,15,1.6511456,1518.2034280002115,0.9495247,0.48,2026-05-28T17:21:33+00:00
1133072,0,ok,,30,0.846542,1517.5315919998102,2.408837,0.49,2026-05-28T17:21:33+00:00
1167538,1,no_metadata,"TIC no tiene TOI con (period, epoch, duration) válidos",0,,,,0.0,2026-05-28T17:21:33+00:00
1449756,0,no_global_pt,no existe data\processed\global/1449756.pt,0,,,,0.0,2026-05-28T17:21:33+00:00
1528696,1,ok,,29,0.8820624,1438.4028420001268,0.5759672,0.49,2026-05-28T17:21:34+00:00
1950736,0,ok,,8,3.1129681,3307.7293730000965,2.308,0.54,2026-05-28T17:21:34+00:00
4070275,1,ok,,5,5.4240691,1439.3402430000715,1.6875037,0.45,2026-05-28T17:21:35+00:00
4294779,0,ok,,75,0.3438892,2174.475147999823,0.9696069,0.48,2026-05-28T17:21:35+00:00
4426490,0,ok,,9,2.668957,3235.0219319998287,2.7508738,0.5,2026-05-28T17:21:36+00:00
4646810,1,ok,,2,10.9245478,1416.351956000086,1.8716477,0.48,2026-05-28T17:21:36+00:00
4897275,1,ok,,2,16.7100422,1872.341155000031,5.4004652,0.55,2026-05-28T17:21:37+00:00
4918918,1,ok,,48,0.5734766,1870.4745700000783,0.9004508,0.56,2026-05-28T17:21:37+00:00
4999813,0,ok,,13,2.0849517,2226.7262129997835,3.099,0.56,2026-05-28T17:21:38+00:00
5024743,0,no_global_pt,no existe data\processed\global/5024743.pt,0,,,,0.0,2026-05-28T17:21:38+00:00
5109298,0,ok,,16,1.6187107,2202.960241000168,4.739749,0.53,2026-05-28T17:21:38+00:00
5772442,0,ok,,23,1.10578,1492.5018099998124,1.87,0.44,2026-05-28T17:21:39+00:00
5800958,0,no_global_pt,no existe data\processed\global/5800958.pt,0,,,,0.0,2026-05-28T17:21:39+00:00
6653897,0,ok,,29,0.8857522,2549.1227660002187,1.579,0.47,2026-05-28T17:21:39+00:00
7439481,0,ok,,22,1.2540806,2333.969004999846,1.3435517,0.46,2026-05-28T17:21:40+00:00
7548817,1,ok,,6,4.52074,2735.896093000192,4.175,0.49,2026-05-28T17:21:40+00:00
7624182,0,ok,,23,1.1096992,2199.670069000218,2.097,0.5,2026-05-28T17:21:41+00:00
7904580,0,ok,,1,15.8346011,2249.620409999974,4.676,0.49,2026-05-28T17:21:41+00:00
8260536,1,ok,,6,4.7728997,2628.618083000183,2.906,0.47,2026-05-28T17:21:42+00:00
8260536,1,ok,,6,4.7728997,2628.618083000183,2.906,0.45,2026-05-28T17:21:42+00:00
8348911,1,ok,,11,2.326343,1957.92519999994,1.2195051,0.46,2026-05-28T17:21:43+00:00
8599009,1,ok,,9,2.88069,2766.9558339999057,1.784,0.46,2026-05-28T17:21:43+00:00
8967242,1,ok,,4,7.093853,1904.8157730000091,2.5107626,0.58,2026-05-28T17:21:44+00:00
9006668,1,ok,,22,1.2730965,3205.747992000077,1.48,0.56,2026-05-28T17:21:44+00:00
9032368,0,ok,,16,1.632,1355.6794199999422,1.466,0.51,2026-05-28T17:21:45+00:00
9033144,0,ok,,6,4.7150255,3202.5793440002017,3.302,0.5,2026-05-28T17:21:45+00:00
9102327,0,no_global_pt,no existe data\processed\global/9102327.pt,0,,,,0.0,2026-05-28T17:21:45+00:00
9348006,1,ok,,2,10.2405483,2635.3643260002136,3.538,0.52,2026-05-28T17:21:46+00:00
9727392,0,ok,,6,4.534451,1355.3257109997794,4.936391,0.5,2026-05-28T17:21:46+00:00
