tid,toi,tfopwg_disp,st_tmag,pl_orbper,pl_trandep,pl_tranmid,pl_trandurh
182943944,1017.01,FP,10.6019,1.10422,14177.7,2458518.96536,2.37
291555748,1018.01,FP,10.6254,4.95912,7440.0,2458492.78078,2.509
341420329,1019.01,PC,10.6348,5.2341008,20796.9416293,2459232.446864,3.7078139
149603524,102.01,KP,9.7109,4.4119372,14711.8810303,2460982.065462,3.6321285
140706664,1020.01,FP,10.7173,3.28892,10518.9,2458521.29108,3.793
143994283,1021.01,FP,10.5551,1.90879,618.482,2458492.90429,1.909
47384844,1022.01,FA,8.72924,3.09574,380.0,2458547.448,4.475
238374636,1023.01,FP,9.697,1.3214483,2180.0,2459303.303969,3.435
141482386,1024.01,FP,10.0814,18.0157,610.0,2458339.72276,2.524
297967252,1025.01,FP,5.5324,9.6837908,4965.2496516,2460733.686688,1.6988586
388624270,1026.01,FP,9.9138,14.2628757,913.2067174,2460720.807674,6.9350494
20318757,1027.01,PC,10.2103,3.2834565,1558.0,2460037.86905,1.537
20318757,1027.02,PC,10.2103,11.02875,1694.0,2460032.53325,2.715
20318757,1027.03,PC,10.2103,5.0113292,1210.0,2460032.57304,1.024
447283466,1028.01,FP,7.9059,1.01606,240.0,2458544.48066,2.843
374908020,1029.01,FP,6.841,36.22214,7170.0,2458365.89313,5.107
336732616,103.01,KP,11.5232,3.547854,10424.3718,2458327.25256,3.494333
464296022,1030.01,FP,9.5706,12.1246519,7279.0,2460054.783937,4.612
304021498,1031.01,FP,9.7318,5.652623,1250.0,2459304.837939,3.434
146589986,1032.01,PC,9.7611,5.6643704,3491.8232968,2459283.828685,3.8087395
149601557,1033.01,FP,10.0163,29.0161646,1238.3381592,2460717.39858,5.345
400595342,1034.01,FP,9.8174,3.6404389,476.3077321,2460768.617427,2.5339234
361413119,1035.01,PC,10.1126,6.0744477,5982.5212406,2459286.872605,2.4954821
146172354,1036.01,PC,10.2855,3.7795212,2761.0,2460037.172273,2.952
363260203,1037.01,FP,9.0211,1.2025238,390.0,2459331.124512,1.991
90544017,1038.01,FP,8.7157,3.2235985,680.0,2459273.371643,2.159
461867584,1039.01,APC,8.5483,4.420125,2466.0,2460031.2166,3.956
231670397,104.01,KP,9.8638,4.0872956,3572.1712499,2460150.608677,5.586113
310483807,1040.01,FP,8.3854,2.55555,397.9246747,2460756.129789,1.566
385624852,1041.01,FP,8.0981,8.30792,8350.0,2459261.801216,3.228
360286627,1042.01,FP,9.718,0.758082,583.93181,2459281.337956,1.8184632
90448944,1043.01,FP,9.5719,1.4415577,507.0,2459985.770425,2.349
463402815,1044.01,PC,10.0031,1.0085089,3051.0,2460037.194672,1.642
54044474,1045.01,FP,9.6306,3.7039994,7590.0,2459301.544126,4.277
309787037,1046.01,FP,10.0119,1.3042553,914.0,2460177.867195,1.706
370745311,1047.01,FP,10.2355,0.62627,1880.0,2458544.79061,0.666
406976746,1063.01,PC,9.0689,10.0665238,839.9044871,2458629.391681,2.4023189
79748331,1064.01,CP,10.0059,6.4438657,1121.9512275,2458656.668478,1.9309449
79748331,1064.02,CP,10.0059,12.2265595,1206.3693293,2458664.490132,2.1904379
7088246,1065.01,KP,13.2851,2.1605155,13774.8794619,2458654.345755,1.4806956
201604954,1066.01,KP,11.9707,4.606184,13793.034867,2458657.832537,3.121643
201642601,1067.01,KP,13.1686,3.1316735,14915.6943722,2458656.987874,2.4579197
6663331,1068.01,KP,13.2887,3.180362,21192.463324,2458656.633231,2.111521
31858843,1069.01,KP,10.4293,2.9776446,13022.0,2460147.378764,2.962
92352620,107.01,KP,9.6433,3.9502008,13914.0,2460176.993334,4.444
31858844,1070.01,FP,15.7114,2.9776152,43218.111683,2458655.579241,3.25697
120247528,1071.01,KP,11.5803,3.5544026,10164.8753396,2458655.394059,2.0550535
140830390,1072.01,FP,11.7106,12.8379689,10539.0192794,2459211.732146,9.8464123
158297421,1073.01,CP,13.6699,3.9228016,31510.9004906,2459036.472812,1.8736007
327301957,1074.01,PC,10.6339,13.9428705,1015.395543,2458662.652685,3.7522756
351601843,1075.01,CP,11.1186,0.6047392,1027.6833479,2458654.249503,1.0403847
360742636,1076.01,KP,11.2474,2.5495611,14921.4021936,2458654.163257,2.6173308
369960846,1077.01,PC,13.461,1.6062693,16725.3019333,2458654.102739,1.9561305
384549882,1048.01,FP,8.802,0.30412,1330.0,2458518.376,0.748
16288184,1049.01,KP,11.0657,2.1805333,16399.8584641,2458626.801546,2.9443745
144065872,105.01,KP,9.4995,2.1846669,11535.5475157,2460904.412675,2.6989102
66818296,1050.01,KP,11.0261,3.7354838,17030.0,2459355.54563,4.142
259863352,1051.01,FA,7.1278,21.701669,211.6567325,2458657.736625,8.2676424
317060587,1052.01,CP,9.0197,9.139804,358.4157801,2458332.941229,3.0912936
112395568,1053.01,FP,8.8849,5.742625,1105.760867,2458657.999179,2.860293
366989877,1054.01,CP,8.4362,15.5077855,513.0,2460122.700139,4.565
320004517,1055.01,CP,8.0888,17.4713078,1199.7541483,2458661.062711,4.4284819
421894914,1056.01,PC,9.6663,5.3079507,391.3830934,2458326.062424,3.2158594
323132914,1057.01,PC,9.4091,51.1701501,851.4547808,2458607.350901,6.6641048
31553893,1058.01,PC,9.3781,11.1296441,951.6169809,2458663.023129,7.0473822
380783252,1059.01,PC,9.7825,9.4496506,19750.0,2460106.337519,2.021
38846515,106.01,KP,10.3157,2.8493827,7740.4889995,2460988.068249,3.548888
101230735,1060.01,APC,9.6652,2.0685633,502.0,2460149.536226,0.373
253990973,1061.01,FP,9.7345,0.540933,257.347459,2458654.253249,1.674337
299799658,1062.01,CP,9.478,4.1150576,487.0,2460177.200429,1.08
50365310,1000.01,FP,9.604,2.1713484,656.8860989,2459229.630046,2.0172196
88863718,1001.01,PC,9.42344,1.9316462,1286.0,2459987.948873,3.166
124709665,1002.01,FP,9.299501,1.8675574,1500.0,2459224.687802,1.408
